state,year,mort_count,mort_rate,inc_count,inc_rate
Maine,1990,29.10621907676881,4.535542290322911,140.61192711314789,21.91117095158
Minnesota,1990,72.52639309608642,3.191742038559219,388.5886910737949,17.10101396281
Colorado,1990,55.54361710124195,3.269754247461024,320.9134197278362,18.89160396791
Pennsylvania,1990,361.0689212810924,5.739195002801666,1714.406729935497,27.2505163344
Mississippi,1990,80.44067539766803,5.877213130206039,361.8235766352775,26.43580831347
Alabama,1990,136.26497919753825,6.349558010611934,639.6670421421924,29.80665329769
Florida,1990,376.3904972206231,5.513470356726,1483.516124705933,21.73094761342
Nevada,1990,28.0128843873802,4.5957662715121375,152.84747252838605,25.07600606984
Tennessee,1990,140.43933721493633,5.438417390743616,651.7713553171095,25.23940046883
Georgia,1990,156.44792628768766,4.58979699732641,813.7951167963872,23.87474524042
Indiana,1990,150.51225951603703,5.170705225851974,753.8178329666715,25.89669320488
North Carolina,1990,172.75375669320297,4.951106986554536,841.9395688064837,24.12991162199
Washington,1990,87.16218602653088,3.4706518906969195,598.3871396374669,23.82677112893
Alaska,1990,6.384730418984899,2.4002716827153896,47.31225064597303,17.7865388229
North Dakota,1990,11.95820943790912,3.67834603486769,57.20416851159883,17.59600611739
Arizona,1990,73.5496961545693,3.878228905183968,401.357382221667,21.16332061752
Kentucky,1990,112.64558286476284,5.8116895693216,409.3286893130736,21.11837156509
Arkansas,1990,76.19364645688577,6.133995951727829,358.16456630611634,28.83416271483
Maryland,1990,118.90691158010183,4.735498603516593,610.5442747534621,24.31508414489
Ohio,1990,302.5240689459929,5.290255760005975,1475.9725475750529,25.81041666742
Connecticut,1990,72.08025366797318,4.184888683364637,431.0308621498895,25.02510861713
Rhode Island,1990,23.444978715100305,4.411827797993317,109.70978576796814,20.64496148385
Massachusetts,1990,130.90294965840465,4.117622954981574,669.4993372363291,21.05946311021
Missouri,1990,148.90524518080534,5.512208546926684,712.6306615461211,26.38032541168
Delaware,1990,19.722219238742067,5.627079327042689,92.98924988477935,26.5313897655
South Carolina,1990,105.87425723370433,5.765953927477491,475.7825594091134,25.91130638106
Texas,1990,405.3852673549584,4.603585007917824,2256.9733155932777,25.63035550534
Hawaii,1990,20.303867641613568,3.6528113187586,129.89488059326365,23.36902005347
Montana,1990,15.991963684408931,3.893997245599458,76.90552118279126,18.72627361886
Utah,1990,21.615383912931417,2.436191727055875,159.6005243516921,17.9879977439
New Hampshire,1990,24.84842462586657,4.313275897485111,122.13277124822848,21.20023085768
Iowa,1990,59.93063703279747,4.111470679767737,295.36883801975745,20.26343081537
Idaho,1990,17.254879701341917,3.334087556675126,87.18510872014946,16.84641047301
Vermont,1990,11.9153333944339,4.0682921472389255,55.499284151455896,18.94930627759
New Jersey,1990,232.87956495830537,5.7151658171697655,734.4300409427848,18.02386338986
West Virginia,1990,59.182472413866336,6.249155683311928,264.90584523157,27.97175921774
New Mexico,1990,30.19681249890849,3.8389236151504345,219.7210863516738,27.93316238832
Kansas,1990,55.015810215813744,4.281580138455079,276.9844418802795,21.55618685544
Wisconsin,1990,101.00622367749814,3.970056634935651,526.998160722133,20.7136992989
Wyoming,1990,7.658057374186476,3.322874210758216,40.244999267105285,17.46253176783
Louisiana,1990,119.02522256267018,5.335497758678367,405.00558597856286,18.15502924267
California,1990,622.8825471540963,4.100669375709718,3279.998896700512,21.59346266726
Oklahoma,1990,83.45452613508303,5.075913217527895,417.6779635274207,25.404219446490004
Oregon,1990,57.54423232207757,3.890261082210361,291.6676656513503,19.7181076684
Michigan,1990,215.20255347068823,4.4178768697355,1028.3054156953044,21.11000375115
District of Columbia,1990,29.177766025689014,8.887259846451387,116.05844894550847,35.35025924351
Illinois,1990,314.7017645648733,5.253421901338364,1594.566602820305,26.61863407719
South Dakota,1990,12.33680858945372,3.430611883903348,57.00978456703192,15.85324462289
Nebraska,1990,34.062165835764176,4.132579219296326,161.55335950522365,19.6003994437
Virginia,1990,151.1978273890616,4.699622372325493,794.1179261553533,24.68325396251
New York,1990,516.1675814292454,5.417715845385889,2554.7706709816457,26.81497646012
California,1991,629.8510755984453,4.072177485207456,3340.6507725300653,21.59831647332
District of Columbia,1991,27.558822188134226,8.438773770481966,107.69779881135096,32.97809149983
Illinois,1991,323.0524172987642,5.373401079836984,1629.058508035375,27.096484277650003
Louisiana,1991,117.13856929759142,5.239283803488366,390.4596632406602,17.46417940563
Nebraska,1991,32.80948712074439,3.968636741551397,158.04360388287392,19.11696000697
Michigan,1991,218.55082367101767,4.467140708922432,1056.3610542243798,21.59183566267
New York,1991,497.6718980704226,5.198119062850382,2482.792160765071,25.93244527168
Oklahoma,1991,84.24771048079558,5.101021892906917,416.147956960116,25.19688460407
Virginia,1991,148.30250360641872,4.544584221866301,765.5502880629064,23.45953490717
Oregon,1991,57.13188259128994,3.81498778181253,284.4340114327359,18.99311258672
Wyoming,1991,7.317409355538503,3.1837158410638438,39.6270062725376,17.24122861984
South Dakota,1991,12.711300351518563,3.524848977455718,59.13634650422311,16.398533961229997
Texas,1991,413.8262082955473,4.618233292858095,2257.6910589721274,25.1954656436
Hawaii,1991,20.70585525894426,3.685342680845044,137.0479210375377,24.39254724832
Utah,1991,22.245100376231708,2.459810326097012,165.09006926151653,18.25526746282
Idaho,1991,17.69376776914112,3.370242064139562,89.07215134123169,16.96612700643
New Hampshire,1991,24.94176035493491,4.274492297693124,126.71956005495248,21.71706309874
New Jersey,1991,225.7860180062445,5.500654425722832,710.0795801268176,17.29913313291
Alaska,1991,6.147981117307655,2.2649974831320447,44.3161023328343,16.32663769306
