city,pop_2010,val,lower,upper,year,state
Wyoming,72121,1176.6,1147.6,1203.8,2016,Michigan
Bloomington,82893,1751.4,1703.2,1793.5,2016,Minnesota
Bloomington,82893,1774.2,1727.1,1815.6,2014,Minnesota
Brooklyn Park,75781,1059.3,1034.7,1081.7,2014,Minnesota
Brooklyn Park,75781,1069.0,1045.9,1090.5,2016,Minnesota
Duluth,86244,2718.3,2597.1,2826.8,2014,Minnesota
Duluth,86244,2941.8,2844.1,3029.0,2016,Minnesota
Minneapolis,382578,9402.3,9108.8,9658.4,2014,Minnesota
Minneapolis,382578,9729.7,9469.4,9952.6,2016,Minnesota
Plymouth,70576,1271.6,1236.0,1301.6,2016,Minnesota
Plymouth,70576,1300.7,1266.4,1328.7,2014,Minnesota
Rochester,106743,2448.3,2375.0,2512.6,2016,Minnesota
Rochester,106743,2458.8,2385.7,2521.8,2014,Minnesota
St. Paul,285068,6474.6,6286.1,6642.4,2014,Minnesota
St. Paul,285068,6597.2,6422.1,6754.4,2016,Minnesota
Columbia,108500,1831.0,1737.1,1915.6,2014,Missouri
Columbia,108500,1914.0,1823.2,1992.7,2016,Missouri
Independence,116811,2142.3,2059.6,2220.2000000000003,2014,Missouri
Independence,116811,2197.2,2121.3,2271.3,2016,Missouri
Kansas City,459538,11912.5,11475.1,12307.8,2014,Missouri
Kansas City,459538,12538.3,12157.3,12880.8,2016,Missouri
Lee's Summit,91351,1707.2,1644.0,1764.0,2016,Missouri
Lee's Summit,91351,1746.0,1686.3,1799.2,2014,Missouri
O'Fallon,79320,1660.6,1604.8999999999999,1709.4,2014,Missouri
O'Fallon,79320,1695.8,1646.3999999999999,1740.6,2016,Missouri
Springfield,159445,3691.8,3502.1,3864.1,2014,Missouri
Springfield,159445,4003.5,3838.3,4154.0,2016,Missouri
St. Joseph,76780,1830.6,1754.6,1903.3,2014,Missouri
St. Joseph,76780,1940.7,1874.9,2004.1,2016,Missouri
St. Louis,319294,8085.7,7745.1,8397.8,2014,Missouri
St. Louis,319294,9007.7,8766.4,9221.2,2016,Missouri
Gulfport,67708,1628.9,1569.1,1685.4,2014,Mississippi
Gulfport,67708,1767.9,1722.0,1811.4,2016,Mississippi
Jackson,173513,4232.6,4051.6,4393.7,2014,Mississippi
Jackson,173513,4648.3,4526.0,4756.6,2016,Mississippi
Billings,104167,2132.6,2047.7,2211.5,2014,Montana
Billings,104167,2238.8,2164.1,2306.7,2016,Montana
Missoula,66788,1244.5,1183.9,1297.5,2014,Montana
Missoula,66788,1311.4,1258.5,1358.3,2016,Montana
Asheville,83319,2414.2,2332.6,2484.8,2014,North Carolina
Asheville,83319,2514.8,2447.3,2573.0,2016,North Carolina
Cary,135228,3371.1,3284.6,3440.4,2016,North Carolina
Cary,135228,3400.4,3316.1,3466.7,2014,North Carolina
Charlotte,731405,16581.8,16139.5,16972.3,2014,North Carolina
Charlotte,731405,17215.8,16846.0,17538.9,2016,North Carolina
Concord,79057,1815.6,1763.3,1863.9,2014,North Carolina
Concord,79057,1890.1,1845.0,1931.0,2016,North Carolina
Durham,228295,4804.9,4667.6,4925.3,2014,North Carolina
Durham,228295,4878.6,4750.4,4992.7,2016,North Carolina
Fayetteville,200501,4037.0,3931.0,4135.4,2014,North Carolina
Fayetteville,200501,4263.4,4179.4,4341.0,2016,North Carolina
Gastonia,71687,2331.8,2255.4,2403.4,2014,North Carolina
Gastonia,71687,2469.2,2408.4,2527.2,2016,North Carolina
Greensboro,269636,6419.5,6217.8,6599.7,2014,North Carolina
Greensboro,269636,6776.0,6611.8,6920.7,2016,North Carolina
Greenville,84552,1837.7,1754.5,1909.6,2014,North Carolina
Greenville,84552,1930.0,1859.8,1992.2,2016,North Carolina
High Point,104352,2631.3,2552.9,2701.9,2014,North Carolina
High Point,104352,2800.9,2735.7,2859.1,2016,North Carolina
Jacksonville,70123,1289.5,1243.4,1331.1,2014,North Carolina
Jacksonville,70123,1310.8,1265.2,1353.4,2016,North Carolina
Raleigh,403801,7813.9,7601.2,7988.6,2014,North Carolina
Raleigh,403801,7969.1,7777.5,8129.2,2016,North Carolina
Wilmington,106416,2366.9,2278.5,2441.0,2014,North Carolina
Wilmington,106416,2466.1,2390.1,2532.7,2016,North Carolina
Winston-Salem,229509,5411.7,5229.0,5578.3,2014,North Carolina
Winston-Salem,229509,5948.8,5822.3,6061.3,2016,North Carolina
Fargo,105549,1990.9,1905.1,2067.7,2014,North Dakota
Fargo,105549,2032.6,1949.6,2106.5,2016,North Dakota
Lincoln,258377,5393.4,5151.6,5611.1,2014,Nebraska
Lincoln,258377,5875.0,5678.6,6050.1,2016,Nebraska
Omaha,408947,11460.4,11082.1,11807.1,2016,Nebraska
Omaha,408947,11492.2,11108.8,11836.5,2014,Nebraska
Manchester,109565,2337.7,2255.1,2413.7,2014,New Hampshire
Nashua,86494,1484.7,1435.0,1529.9,2014,New Hampshire
Camden,77344,1394.2,1342.9,1445.8,2014,New Jersey
Camden,77344,1598.8,1565.3,1631.6,2016,New Jersey
Clifton,84136,1308.0,1274.0,1340.2,2014,New Jersey
Clifton,84136,1320.4,1287.0,1350.8,2016,New Jersey
Elizabeth,124969,2039.1,1981.9,2094.8,2014,New Jersey
Elizabeth,124969,2150.2,2102.3,2195.9,2016,New Jersey
Jersey City,247597,5023.8,4850.2,5176.4,2014,New Jersey
Jersey City,247597,5301.3,5150.9,5436.9,2016,New Jersey
Newark,277140,6384.5,6126.2,6634.3,2014,New Jersey
Newark,277140,7463.3,7308.4,7612.1,2016,New Jersey
Passaic,69781,1037.1,993.9,1079.6,2014,New Jersey
Passaic,69781,1149.9,1117.2,1181.2,2016,New Jersey
Paterson,146199,2470.9,2388.1,2552.5,2014,New Jersey
Paterson,146199,2738.6,2678.3,2797.1,2016,New Jersey
Trenton,84913,1898.0,1832.5,1960.6,2014,New Jersey
Trenton,84913,2124.4,2078.8,2167.6,2016,New Jersey
Union City,66455,1350.6000000000001,1286.1,1414.6,2014,New Jersey
Union City,66455,1462.8,1411.8,1512.6,2016,New Jersey
Albuquerque,545801,10880.1,10535.8,11197.8,2014,New Mexico
Albuquerque,545801,11436.9,11147.3,11703.1,2016,New Mexico
Las Cruces,97601,1947.5,1871.7,2016.3,2014,New Mexico
Las Cruces,97601,2105.6,2047.5,2158.7,2016,New Mexico
Rio Rancho,87511,1289.4,1252.4,1323.6,2014,New Mexico
Rio Rancho,87511,1331.6,1298.2,1362.5,2016,New Mexico
Santa Fe,67849,2280.3,2198.8,2350.1,2014,New Mexico
Santa Fe,67849,2305.0,2228.3,2371.7,2016,New Mexico
Henderson,257683,5272.2,5109.2,5423.3,2016,Nevada
Henderson,257683,5292.3,5124.5,5444.1,2014,Nevada
Las Vegas,583710,11768.4,11377.4,12132.0,2014,Nevada
Las Vegas,583710,12200.8,11859.2,12523.0,2016,Nevada
North Las Vegas,216961,3781.7999999999997,3662.2,3896.8,2014,Nevada
North Las Vegas,216961,3972.6,3873.9,4068.7,2016,Nevada
Reno,225188,5082.0,4890.6,5255.6,2014,Nevada
Reno,225188,5460.0,5303.8,5602.9,2016,Nevada
Sparks,90230,1768.9,1707.2,1826.2,2014,Nevada
Sparks,90230,1867.7,1816.3,1916.1,2016,Nevada
Albany,97856,2040.9,1969.4,2104.1,2014,New York
Albany,97856,2193.9,2139.7,2243.3,2016,New York
Buffalo,261310,6157.5,5935.0,6363.5,2014,New York
Buffalo,261310,6693.6,6533.0,6841.9,2016,New York
Mount Vernon,67292,1638.6,1590.7,1682.2,2014,New York
Mount Vernon,67292,1692.4,1652.3,1729.6,2016,New York
New Rochelle,77062,1239.6,1208.3,1267.8,2014,New York
New Rochelle,77062,1251.9,1223.5,1278.5,2016,New York
New York,8174705,169713.7,164358.7,174665.1,2014,New York
New York,8174705,174845.5,170248.1,179106.8,2016,New York
Rochester,210508,6085.3,5874.3,6280.2,2014,New York
Rochester,210508,6414.2,6240.5,6573.9,2016,New York
Schenectady,66135,1551.1,1500.0,1600.2,2014,New York
Schenectady,66135,1676.0,1636.2,1713.1,2016,New York
Syracuse,145168,4148.2,3971.0,4312.5,2014,New York
Syracuse,145168,4516.7,4383.0,4640.6,2016,New York
Yonkers,195976,4111.2,3994.2,4218.8,2014,New York
Yonkers,195976,4214.4,4112.1,4310.5,2016,New York
Akron,199104,4777.9,4582.3,4963.7,2014,Ohio
Akron,199104,5459.2,5313.9,5593.0,2016,Ohio
Canton,72957,1912.1,1838.8,1981.5,2014,Ohio
Canton,72957,2144.9,2087.0,2199.0,2016,Ohio
Cincinnati,296808,8818.3,8456.9,9149.7,2014,Ohio
Cincinnati,296808,9879.9,9628.1,10104.0,2016,Ohio
Cleveland,396814,12531.7,11945.4,13088.0,2014,Ohio
Cleveland,396814,14444.1,14039.2,14824.7,2016,Ohio
Columbus,786932,18031.8,17391.5,18609.1,2014,Ohio
Columbus,786932,19936.3,19487.8,20328.0,2016,Ohio
Dayton,141359,4191.1,3986.5,4384.7,2014,Ohio
Dayton,141359,4693.5,4542.5,4834.7,2016,Ohio
Parma,81601,1745.4,1681.8,1803.2,2014,Ohio
Parma,81601,1784.5,1727.2,1839.0,2016,Ohio
Toledo,287208,7294.1,6994.1,7580.0,2014,Ohio
Toledo,287208,8315.1,8102.7,8512.8,2016,Ohio
Youngstown,66971,2207.2,2111.3,2299.8,2014,Ohio
Youngstown,66971,2609.8,2546.7,2669.1,2016,Ohio
Broken Arrow,98786,2933.7,2825.1,3033.1,2014,Oklahoma
Broken Arrow,98786,3052.0,2956.0,3139.7,2016,Oklahoma
Edmond,81405,1772.0,1708.0,1827.5,2014,Oklahoma
Edmond,81405,1860.6,1806.1,1907.7,2016,Oklahoma
Lawton,96867,1995.6,1918.7,2069.4,2014,Oklahoma
Lawton,96867,2281.8,2222.5,2338.3,2016,Oklahoma
Norman,110902,2008.9,1904.7,2102.7,2014,Oklahoma
Norman,110902,2286.1,2202.8,2359.3,2016,Oklahoma
Oklahoma City,579960,16326.9,15733.0,16875.1,2014,Oklahoma
Oklahoma City,579960,18034.1,17583.8,18448.7,2016,Oklahoma
Tulsa,391823,9681.9,9303.3,10031.1,2014,Oklahoma
Tulsa,391823,10647.0,10346.4,10919.2,2016,Oklahoma
Beaverton,89735,2041.3,1975.3,2098.1,2014,Oregon
Beaverton,89735,2057.1,1994.5,2112.4,2016,Oregon
Bend,76639,981.7,947.8,1011.8,2014,Oregon
Bend,76639,1015.8,986.6,1042.6,2016,Oregon
Eugene,156177,3334.7,3191.5,3460.6,2014,Oregon
Eugene,156177,3537.8,3414.2,3646.2,2016,Oregon
Gresham,105594,1938.7,1872.6,1999.8,2014,Oregon
Gresham,105594,2016.9,1959.5,2070.4,2016,Oregon
Hillsboro,91539,1706.8,1652.9,1755.5,2014,Oregon
Hillsboro,91539,1719.2,1667.8,1765.1,2016,Oregon
Medford,74887,1511.3,1441.2,1575.6,2014,Oregon
Medford,74887,1606.9,1547.7,1662.6,2016,Oregon
Portland,583665,12338.4,11938.2,12684.9,2014,Oregon
Portland,583665,12646.4,12286.6,12959.4,2016,Oregon
Salem,154610,2774.7,2657.2,2884.8,2014,Oregon
Salem,154610,2991.6,2895.1,3081.1,2016,Oregon
Allentown,118032,1934.4,1862.4,2002.7,2014,Pennsylvania
Allentown,118032,2091.5,2030.5,2148.2,2016,Pennsylvania
Bethlehem,74982,1390.3,1334.0,1441.8,2014,Pennsylvania
Bethlehem,74982,1449.6,1398.1000000000001,1497.4,2016,Pennsylvania
Erie,101786,2175.4,2084.7,2262.5,2014,Pennsylvania
Erie,101786,2388.3,2311.9,2462.0,2016,Pennsylvania
Philadelphia,1525950,29187.4,28141.9,30147.5,2014,Pennsylvania
Philadelphia,1525950,30605.5,29709.3,31432.6,2016,Pennsylvania
Pittsburgh,305596,9732.5,9305.2,10115.6,2014,Pennsylvania
Pittsburgh,305596,10397.3,10037.5,10713.5,2016,Pennsylvania
Reading,88082,1908.3,1834.2,1982.1,2014,Pennsylvania
Reading,88082,2147.2,2089.5,2203.7,2016,Pennsylvania
Scranton,76089,2010.8,1913.2,2101.8,2014,Pennsylvania
Scranton,76089,2178.5,2097.8,2254.1,2016,Pennsylvania
Cranston,80387,1459.3,1422.5,1492.5,2014,Rhode Island
Pawtucket,71148,1734.4,1689.2,1777.2,2014,Rhode Island
Providence,178042,3128.7,3039.7,3209.9,2014,Rhode Island
Warwick,82669,1787.6,1732.3,1836.3,2014,Rhode Island
Charleston,120083,3578.6,3430.7,3701.0,2014,South Carolina
Charleston,120083,3628.1,3490.9,3744.5,2016,South Carolina
Columbia,129198,4935.4,4733.3,5114.7,2014,South Carolina
Columbia,129198,5301.3,5140.7,5438.4,2016,South Carolina
Mount Pleasant,67840,920.5,887.0,948.1,2016,South Carolina
Mount Pleasant,67840,947.4,916.9,971.6,2014,South Carolina
North Charleston,97424,2167.1,2092.3,2237.8,2014,South Carolina
North Charleston,97424,2297.3,2238.7,2354.8,2016,South Carolina
Rock Hill,66154,1716.3,1649.4,1777.3,2014,South Carolina
Rock Hill,66154,1827.2,1771.5,1878.4,2016,South Carolina
Rapid City,67953,1544.3999999999999,1492.3,1591.0,2014,South Dakota
Rapid City,67953,1546.3,1494.8,1593.6,2016,South Dakota
Sioux Falls,153837,3061.1,2960.3,3153.3,2016,South Dakota
Sioux Falls,153837,3116.5,3023.1,3201.2,2014,South Dakota
Chattanooga,167596,4063.4,3929.2,4187.0,2014,Tennessee
Chattanooga,167596,4233.3,4120.1,4336.4,2016,Tennessee
Clarksville,132900,2787.5,2706.0,2862.1,2014,Tennessee
Clarksville,132900,2818.0,2738.4,2891.3,2016,Tennessee
Knoxville,178628,5558.2,5338.5,5749.6,2014,Tennessee
Knoxville,178628,5594.5,5381.1,5780.2,2016,Tennessee
Memphis,646871,14561.7,14086.7,14997.1,2014,Tennessee
Memphis,646871,14911.3,14494.0,15294.3,2016,Tennessee
Murfreesboro,108750,2073.3,2004.3,2134.3,2014,Tennessee
Murfreesboro,108750,2110.9,2045.6000000000001,2169.7,2016,Tennessee
Nashville,601222,12915.8,12520.4,13265.3,2014,Tennessee
Nashville,601222,13184.6,12827.0,13505.4,2016,Tennessee
Abilene,117057,2729.1,2605.2,2845.4,2014,Texas
Abilene,117057,2969.6,2862.7,3068.2,2016,Texas
Allen,84246,896.7,868.1,921.3,2016,Texas
Allen,84246,912.0,886.3,934.0,2014,Texas
Amarillo,190695,4127.2,3963.0,4281.0,2014,Texas
Amarillo,190695,4406.4,4262.6,4540.1,2016,Texas
Arlington,365438,5699.2,5518.9,5862.9,2014,Texas
Arlington,365438,5837.3,5667.2,5995.4,2016,Texas
Austin,790318,16177.7,15693.7,16600.8,2014,Texas
Austin,790318,16507.2,16059.4,16895.4,2016,Texas
Baytown,71778,1356.9,1309.9,1401.9,2014,Texas
Baytown,71778,1455.6000000000001,1417.1,1492.7,2016,Texas
Beaumont,117267,2488.7,2399.1,2572.8,2014,Texas
Beaumont,117267,2705.0,2632.4,2772.0,2016,Texas
Brownsville,175001,3333.8,3127.3,3543.6,2014,Texas
Brownsville,175001,3899.0,3748.1,4044.6,2016,Texas
Bryan,76201,1207.9,1163.1,1250.5,2014,Texas
Bryan,76201,1319.6,1283.5,1352.7,2016,Texas
Carrollton,119091,2567.0,2478.4,2649.6,2014,Texas
Carrollton,119091,2674.3,2593.7,2747.3,2016,Texas
College Station,93857,1873.3,1736.3,1986.2,2014,Texas
College Station,93857,2063.6,1944.9,2159.6,2016,Texas
Corpus Christi,305204,5734.7,5546.0,5916.5,2014,Texas
Corpus Christi,305204,6078.8,5919.1,6229.3,2016,Texas
Dallas,1197625,23091.1,22203.8,23911.3,2014,Texas
Dallas,1197625,24714.2,23966.3,25395.9,2016,Texas
Denton,113360,1983.2,1882.1,2071.1,2014,Texas
Denton,113360,2188.9,2103.5,2263.4,2016,Texas
Edinburg,77100,934.2,882.5,985.1,2014,Texas
Edinburg,77100,1048.2,1009.6,1085.5,2016,Texas
El Paso,649096,9965.8,9531.4,10377.1,2014,Texas
El Paso,649096,10677.2,10325.8,11008.6,2016,Texas
Fort Worth,741094,12260.8,11853.0,12644.2,2014,Texas
Fort Worth,741094,12834.4,12471.1,13176.1,2016,Texas
Frisco,116983,2753.2,2666.1,2825.3,2016,Texas
Frisco,116983,2785.9,2704.7,2851.6,2014,Texas
Garland,226820,3625.3,3499.8,3743.3,2014,Texas
Garland,226820,3792.8,3682.7,3898.5,2016,Texas
Grand Prairie,175338,2940.0,2855.2,3021.7,2014,Texas
Grand Prairie,175338,3047.2,2970.9,3121.0,2016,Texas
Houston,2098706,41668.8,40093.7,43156.8,2014,Texas
Houston,2098706,45066.2,43803.5,46240.2,2016,Texas
Irving,216287,3916.9,3774.8,4048.3,2014,Texas
Irving,216287,4139.9,4017.4,4251.7,2016,Texas
Killeen,127875,2050.4,1995.3,2103.2,2014,Texas
Killeen,127875,2218.8,2170.5,2264.5,2016,Texas
Laredo,236084,4069.1,3824.9,4309.9,2014,Texas
Laredo,236084,4668.6,4490.1,4840.3,2016,Texas
League City,83534,969.7,940.4,997.1,2016,Texas
League City,83534,999.2,972.3,1023.5,2014,Texas
Lewisville,95290,2529.0,2446.0,2604.7,2014,Texas
Lewisville,95290,2641.3,2564.7,2710.2,2016,Texas
Longview,80453,1596.3,1539.6,1648.7,2014,Texas
Longview,80453,1694.0,1645.5,1739.7,2016,Texas
Lubbock,229573,4482.4,4281.9,4668.5,2014,Texas
Lubbock,229573,4755.5,4567.9,4923.0,2016,Texas
McAllen,129852,1840.7,1744.2,1935.5,2014,Texas
McAllen,129852,2033.5,1961.2,2103.7,2016,Texas
McKinney,131085,2052.9,1988.8,2108.0,2016,Texas
McKinney,131085,2071.8,2012.1,2122.9,2014,Texas
Mesquite,139779,2452.5,2371.4,2530.7,2014,Texas
Mesquite,139779,2556.9,2485.1,2625.5,2016,Texas
Midland,111103,1913.2,1850.3,1971.2,2014,Texas
Midland,111103,1949.6,1889.1,2004.8999999999999,2016,Texas
Mission,77050,1091.3,1035.0,1147.0,2014,Texas
Mission,77050,1210.9,1168.3,1251.8,2016,Texas
Missouri City,67358,1464.7,1419.2,1505.1,2014,Texas
Missouri City,67358,1481.8,1438.1,1520.5,2016,Texas
Odessa,99940,1857.4,1790.0,1922.7,2014,Texas
Odessa,99940,1907.8,1845.3,1967.4,2016,Texas
Pasadena,149006,2528.3,2432.3,2620.4,2014,Texas
Pasadena,149006,2736.4,2659.7,2810.6,2016,Texas
Pearland,91252,1221.4,1184.8,1253.8,2014,Texas
Pearland,91252,1222.3,1187.3999999999999,1254.0,2016,Texas
Pharr,70400,630.1,591.3,669.7,2014,Texas
Pharr,70400,724.4,696.6,751.9,2016,Texas
Plano,259841,4677.3,4523.9,4809.1,2016,Texas
Plano,259841,4707.7,4556.8,4834.9,2014,Texas
Richardson,99210,1909.1,1843.5,1965.8,2014,Texas
Richardson,99210,1923.8,1860.3,1980.0,2016,Texas
Round Rock,99868,1966.5,1910.6,2016.2,2014,Texas
Round Rock,99868,2031.0,1979.4,2076.3,2016,Texas
San Angelo,93198,1637.4,1572.2,1698.9,2014,Texas
San Angelo,93198,1755.9,1699.0,1809.1,2016,Texas
San Antonio,1327135,23634.1,22802.1,24424.4,2014,Texas
San Antonio,1327135,25604.0,24931.4,26239.8,2016,Texas
Sugar Land,78775,1428.2,1373.5,1474.9,2016,Texas
Sugar Land,78775,1430.3,1375.6,1476.7,2014,Texas
Tyler,96899,2010.1,1927.4,2087.5,2014,Texas
Tyler,96899,2123.8,2049.6,2193.8,2016,Texas
Waco,124770,2537.9,2425.6,2644.3,2014,Texas
Waco,124770,2807.3,2710.2,2894.9,2016,Texas
Wichita Falls,104553,2324.6,2237.2,2407.5,2014,Texas
Wichita Falls,104553,2494.4,2419.4,2564.3,2016,Texas
Layton,67300,1405.6000000000001,1350.5,1455.1,2014,Utah
Layton,67300,1426.4,1375.6,1473.3,2016,Utah
Ogden,82772,1674.2,1595.9,1749.6,2014,Utah
Ogden,82772,1850.5,1785.9,1912.3,2016,Utah
Orem,88300,1636.8,1551.6,1714.2,2014,Utah
Orem,88300,1751.2,1675.4,1821.5,2016,Utah
Provo,112482,1765.8,1630.2,1897.4,2014,Utah
Provo,112482,2055.7,1932.9,2168.9,2016,Utah
Salt Lake City,186414,4165.2,4011.2,4302.2,2014,Utah
Salt Lake City,186414,4286.5,4142.2,4414.9,2016,Utah
Sandy,87405,1994.5,1921.1,2060.8,2016,Utah
Sandy,87405,2041.2,1968.5,2104.1,2014,Utah
St. George,72884,956.4,910.6999999999999,997.4,2014,Utah
St. George,72884,1022.3000000000001,982.9,1058.5,2016,Utah
West Jordan,103712,1734.6,1676.4,1789.2,2016,Utah
West Jordan,103712,1775.2,1716.7,1827.4,2014,Utah
West Valley City,129478,1944.3,1879.5,2007.2,2014,Utah
West Valley City,129478,1994.3999999999999,1934.9,2052.9,2016,Utah
Alexandria,139966,3300.1,3224.4,3360.6,2016,Virginia
Alexandria,139966,3338.1,3267.1,3395.1,2014,Virginia
Chesapeake,222209,3489.6,3401.2,3569.4,2014,Virginia
Chesapeake,222209,3522.8,3437.9,3600.1,2016,Virginia
Hampton,137436,2723.0,2647.9,2790.5,2014,Virginia
Hampton,137436,2822.4,2758.4,2880.8,2016,Virginia
Lynchburg,75568,1484.2,1424.0,1537.5,2014,Virginia
Lynchburg,75568,1597.0,1546.4,1641.3,2016,Virginia
Newport News,180719,3663.7,3569.2,3749.0,2014,Virginia
Newport News,180719,3740.4,3655.4,3818.5,2016,Virginia
Norfolk,242797,6232.5,6035.4,6411.0,2014,Virginia
Norfolk,242797,6495.8,6326.0,6647.4,2016,Virginia
Portsmouth,95535,2501.3,2413.0,2583.6,2014,Virginia
Portsmouth,95535,2662.7,2593.5,2725.8,2016,Virginia
Richmond,204214,5258.9,5051.3,5438.9,2014,Virginia
Richmond,204214,5528.2,5352.7,5678.2,2016,Virginia
Roanoke,97032,1833.0,1768.7,1892.2,2014,Virginia
Roanoke,97032,1961.8,1912.1000000000001,2007.4,2016,Virginia
Suffolk,84585,2355.1,2291.2,2413.2,2014,Virginia
Suffolk,84585,2379.3,2319.3,2434.2,2016,Virginia
Virginia Beach,437994,8173.5,7948.3,8378.6,2016,Virginia
Virginia Beach,437994,8436.9,8240.7,8612.8,2014,Virginia
Burlington,42417,871.4,820.8,910.8,2014,Vermont
Auburn,70170,1461.6,1408.1,1510.8,2014,Washington
Bellevue,122345,2271.4,2202.1,2328.4,2014,Washington
Bellingham,80885,1307.3,1246.7,1361.7,2014,Washington
Everett,102996,2045.5,1975.9,2109.0,2014,Washington
Federal Way,89304,1453.6,1409.8,1493.6,2014,Washington
Kennewick,73917,1070.6,1029.2,1109.0,2014,Washington
Kent,92411,1746.1,1692.5,1795.8,2014,Washington
Renton,90886,1889.7,1835.1,1940.3,2014,Washington
Seattle,608660,10773.3,10455.4,11039.5,2014,Washington
Spokane,208899,4467.6,4294.6,4621.7,2014,Washington
Spokane Valley,89755,2007.9,1934.8,2075.3,2014,Washington
Tacoma,198370,3883.3,3756.3,3999.6,2014,Washington
Vancouver,161752,3699.5,3562.5,3826.5,2014,Washington
Yakima,90987,1418.0,1359.3,1476.2,2014,Washington
Appleton,72600,2005.0,1940.3999999999999,2064.8,2014,Wisconsin
Appleton,72600,2015.3,1950.3,2074.3,2016,Wisconsin
Green Bay,104057,2431.0,2349.7,2505.5,2014,Wisconsin
Green Bay,104057,2509.1,2437.4,2578.2,2016,Wisconsin
Kenosha,99198,2206.8,2137.6,2270.3,2014,Wisconsin
Kenosha,99198,2302.1,2242.7,2356.9,2016,Wisconsin
Madison,233193,5348.2,5141.0,5522.0,2014,Wisconsin
Madison,233193,5557.3,5377.0,5708.7,2016,Wisconsin
Milwaukee,594807,17032.3,16453.6,17559.6,2014,Wisconsin
Milwaukee,594807,17977.5,17507.3,18400.3,2016,Wisconsin
Racine,78843,1758.5,1705.9,1807.9,2014,Wisconsin
Racine,78843,1821.5,1775.7,1865.0,2016,Wisconsin
Waukesha,70717,1661.8,1608.1,1711.7,2016,Wisconsin
Waukesha,70717,1675.5,1622.8,1722.0,2014,Wisconsin
Charleston,51351,1769.3,1706.5,1826.4,2014,West Virginia
Charleston,51351,1890.4,1842.0,1935.0,2016,West Virginia
Cheyenne,59466,1240.8,1193.6,1285.2,2014,Wyoming
Cheyenne,59466,1271.3,1226.3,1312.8,2016,Wyoming
